GAP_between_Create_Last,TOTAL_EXPENSED_AMOUNT,APPROVED_AMT,PAID_IN_AMOUNT_ALLOCATION,EXPENSE_TYPE_DESC,CITY,Label
0,15077.7,946.2,946.2,办公室小食,青岛,1
1,21694,218,218,餐费,上海,1
1,3906,1908,1908,员工奖品,北京,1
0,10655,347,347,移动电话费,上海,1
1,10802.6,218.5,218.5,其它差旅费,杭州,1
1,10802.6,30,30,出租车费,杭州,1
1,10802.6,174,174,其它差旅费,杭州,1
1,5604.28,214,214,移动电话费,上海,1
4,3568,489,489,移动电话费,上海,1
12,18857.91,9326.91,9326.91,外籍人员补贴,上海,1
0,8936,1053,1053,移动电话费,上海,1
0,16171.97,398,398,餐费,成都,1
102,6054.91,606,606,移动电话费,上海,1
0,1272.51,63.5,63.5,其它差旅费,长春,1
0,2327.65,386,386,移动电话费,上海,1
4,6000.76,370,370,移动电话费,上海,1
1,3377.54,60,60,印刷及办公费用,北京,1
52,7367,130,130,移动电话费,昆明,1
0,4968.7,1327,1327,餐费,广州,1
15,14837.77,160,160,汽油费,沈阳,1
2,11388.3,75,75,出租车费,上海,1
0,12078.5,82,82,餐费,广州,1
0,15743.42,329,329,出租车费,镇江,1
0,15743.42,19.5,19.5,其它差旅费,镇江,1
1,14649,727,727,餐费,上海,1
7,19795.63,3483,3483,办公室小食,牡丹江,1
36,1619,61,61,出租车费,上海,1
11,12800.59,24,24,出租车费,上海,1
11,12800.59,31,31,出租车费,上海,1
28,17544.4,298,298,餐费,上海,1
33,5515.5,113,113,办公室小食,海口,1
33,5515.5,782,782,餐费,海口,1
33,5515.5,112,112,办公室小食,海口,1
0,11839.45,7,7,出租车费,杭州,1
10,14632.6,80,80,其它差旅费,上海,1
11,12800.59,21,21,出租车费,上海,1
2,17176,263,263,餐费,温州,1
42,10350.97,17,17,出租车费,广州,1
3,9761.5,143,143,餐费,新乡,1
1,24969.06,239,239,出租车费,上海,1
33,5515.5,474,474,餐费,海口,1
48,24084.3,2440,2440,办公室小食,鞍山,1
0,14410.71,80,80,出租车费,北京,1
0,2962.1,26,26,其它差旅费,黄冈,1
0,2962.1,18,18,出租车费,黄冈,1
15,24901,25.5,25.5,餐费,哈尔滨,1
25,24944,348,348,餐费,南京,1
27,17127.1,67,67,餐费,太原,1
0,2962.1,26,26,其它差旅费,黄冈,1
29,15819.5,457.7,457.7,办公室小食,深圳,1
3,9458.59,8,8,出租车费,沈阳,1
